Entity,Year,Births attended by skilled health staff (% of total)
Qatar,1996,100
Qatar,1997,100
Qatar,1998,98
Qatar,1999,100
Qatar,2000,100
Qatar,2001,100
Qatar,2002,100
Qatar,2003,100
Qatar,2004,100
Qatar,2005,100
Qatar,2006,100
Qatar,2007,100
Qatar,2008,100
Qatar,2009,100
Qatar,2010,100
Qatar,2011,100
Qatar,2012,100
Qatar,2014,99.9
Qatar,2015,99.9
Qatar,2016,100
Qatar,2017,100
Qatar,2018,100
Qatar,2019,100
Romania,1989,99.9
Romania,1990,99.8
Romania,1991,99.9
Romania,1992,99.7
Romania,1993,98.9
Romania,1994,99
Romania,1995,99.1
Romania,1996,99
Romania,1997,98.3
Romania,1998,99
Romania,1999,98
Romania,2000,99
Romania,2001,99
Romania,2002,99.1
Romania,2003,99.2
Romania,2004,98.9
Romania,2005,98.1
Romania,2006,98.2
Romania,2007,98.8
Romania,2008,99.4
Romania,2009,99.5
Romania,2010,99.5
Romania,2011,99.4
Romania,2012,99.5
Romania,2013,96.6
Romania,2014,95.4
Romania,2015,94.3
Romania,2016,95
Romania,2017,93.5
Romania,2018,93.1
Romania,2019,91.5
Romania,2020,93
Russia,1989,99.2
Russia,1990,99.2
Russia,1991,99.2
Russia,1992,99.1
Russia,1993,99.1
Russia,1994,99.1
Russia,1995,99.1
Russia,1996,99.1
Russia,1997,99.1
Russia,1998,99.1
Russia,1999,99.1
Russia,2000,99.2
Russia,2001,99.3
Russia,2002,99.3
Russia,2003,99.4
Russia,2004,99.4
Russia,2005,99.4
Russia,2006,99.5
Russia,2007,99.6
Russia,2008,99.6
Russia,2009,99.7
Russia,2010,99.7
Russia,2011,99.7
Russia,2012,99.7
Russia,2013,99.7
Russia,2014,99.7
Russia,2015,99.7
Russia,2016,99.7
Russia,2017,99.7
Russia,2018,99.7
Russia,2019,99.7
Russia,2020,99.6
Rwanda,1992,25.9
Rwanda,2000,31.3
Rwanda,2005,38.6
Rwanda,2008,52.1
Rwanda,2010,69
Rwanda,2011,69
Rwanda,2015,90.7
Rwanda,2020,94.2
Saint Kitts and Nevis,1995,100
Saint Kitts and Nevis,1998,99.4
Saint Kitts and Nevis,2000,99.4
Saint Kitts and Nevis,2002,99.5
Saint Kitts and Nevis,2004,100
Saint Kitts and Nevis,2005,100
Saint Kitts and Nevis,2006,100
Saint Kitts and Nevis,2007,100
Saint Kitts and Nevis,2008,100
Saint Kitts and Nevis,2009,100
Saint Kitts and Nevis,2010,100
Saint Kitts and Nevis,2011,100
Saint Kitts and Nevis,2012,100
Saint Kitts and Nevis,2013,100
Saint Kitts and Nevis,2014,100
Saint Kitts and Nevis,2015,100
Saint Kitts and Nevis,2018,100
Saint Kitts and Nevis,2019,100
Saint Kitts and Nevis,2020,100
Saint Lucia,1995,100
Saint Lucia,1997,99.7
Saint Lucia,2000,100
Saint Lucia,2002,98
Saint Lucia,2003,99
Saint Lucia,2004,100
Saint Lucia,2005,100
Saint Lucia,2006,97.9
Saint Lucia,2007,100
Saint Lucia,2008,100
Saint Lucia,2010,98.5
Saint Lucia,2012,98.7
Saint Lucia,2014,99.1
Saint Lucia,2015,99.1
Saint Lucia,2017,100
Saint Lucia,2018,100
Saint Lucia,2019,100
Saint Vincent and the Grenadines,1995,100
Saint Vincent and the Grenadines,1998,98
Saint Vincent and the Grenadines,1999,99.3
Saint Vincent and the Grenadines,2000,100
Saint Vincent and the Grenadines,2001,100
Saint Vincent and the Grenadines,2002,100
Saint Vincent and the Grenadines,2004,100
Saint Vincent and the Grenadines,2005,100
Saint Vincent and the Grenadines,2007,100
Saint Vincent and the Grenadines,2008,99.2
Saint Vincent and the Grenadines,2009,98.9
Saint Vincent and the Grenadines,2010,98.3
Saint Vincent and the Grenadines,2011,98.8
Saint Vincent and the Grenadines,2012,99.2
Saint Vincent and the Grenadines,2013,99
Saint Vincent and the Grenadines,2014,99.9
Saint Vincent and the Grenadines,2015,98.7
Saint Vincent and the Grenadines,2016,98.6
Samoa,1990,76
Samoa,1998,100
Samoa,2000,80
Samoa,2004,100
Samoa,2009,80.8
Samoa,2014,82.5
Samoa,2020,88.9
Sao Tome and Principe,2000,78.6
Sao Tome and Principe,2003,76.4
Sao Tome and Principe,2006,80.7
Sao Tome and Principe,2009,81.7
Sao Tome and Principe,2014,92.5
Sao Tome and Principe,2019,96.8
Saudi Arabia,1990,88
Saudi Arabia,1995,91.4
Saudi Arabia,1996,91.4
Saudi Arabia,2000,91
Saudi Arabia,2004,96
Saudi Arabia,2005,96
Saudi Arabia,2006,96
Saudi Arabia,2007,97
Saudi Arabia,2008,97
Saudi Arabia,2009,97
Saudi Arabia,2010,97
Saudi Arabia,2013,98
Saudi Arabia,2015,98
Saudi Arabia,2016,98
Saudi Arabia,2017,99.7
Saudi Arabia,2018,99.4
Saudi Arabia,2019,94.8
Senegal,1986,22
Senegal,1993,47.2
Senegal,1997,46.5
Senegal,1999,48.3
Senegal,2000,57.8
Senegal,2002,58
Senegal,2004,58
Senegal,2005,51.9
Senegal,2011,65.1
Senegal,2013,50.5
Senegal,2014,59.1
Senegal,2015,53.2
Senegal,2016,58.6
Senegal,2017,68.4
Senegal,2018,74.2
Senegal,2019,74.5
Serbia,1995,98.7
Serbia,1996,98.8
Serbia,2000,98
Serbia,2001,98.2
Serbia,2002,99.2
Serbia,2003,98.5
Serbia,2004,98.7
Serbia,2005,99.7
Serbia,2006,88.9
Serbia,2007,99.8
Serbia,2008,99.7
Serbia,2009,99.8
Serbia,2010,99.7
Serbia,2011,99
Serbia,2012,99
Serbia,2013,99.9
Serbia,2014,98.4
Serbia,2019,99.9
Seychelles,1990,98
Seychelles,1995,99
Seychelles,2000,99
Seychelles,2005,99
Seychelles,2006,99
Seychelles,2007,100
Seychelles,2008,100
Seychelles,2009,99
Seychelles,2010,99
Seychelles,2011,99
Seychelles,2012,99
Seychelles,2019,98.8
Seychelles,2020,99.5
Sierra Leone,2000,37.1
Sierra Leone,2005,40
Sierra Leone,2008,42.4
Sierra Leone,2010,60.8
Sierra Leone,2013,59.7
Sierra Leone,2017,81.6
Sierra Leone,2019,86.9
Singapore,1996,99.7
Singapore,1997,99.7
Singapore,1998,99.7
Singapore,1999,99.7
Singapore,2000,99.7
Singapore,2001,99.6
Singapore,2002,99.7
Singapore,2003,99.7
Singapore,2004,99.7
Singapore,2005,99.7
Singapore,2006,99.7
Singapore,2007,99.7
Singapore,2008,99.8
Singapore,2009,99.7
Singapore,2010,99.7
Singapore,2011,99.7
Singapore,2012,99.7
Singapore,2013,99.6
Singapore,2014,99.7
Singapore,2015,99.7
Singapore,2016,99.7
Singapore,2017,99.6
Singapore,2018,99.6
Singapore,2019,99.6
Singapore,2020,99.6
Singapore,2021,99.6
Slovakia,1989,100
Slovakia,1990,100
Slovakia,1991,100
Slovakia,1992,100
Slovakia,1993,100
Slovakia,1994,100
Slovakia,1995,100
Slovakia,1996,100
Slovakia,1997,100
Slovakia,1998,100
Slovakia,1999,100
Slovakia,2000,100
Slovakia,2001,99.4
Slovakia,2002,99.4
Slovakia,2003,99.5
Slovakia,2004,99.5
Slovakia,2005,99.5
Slovakia,2006,99.5
Slovakia,2007,99.2
Slovakia,2008,99.5
Slovakia,2009,99.5
Slovakia,2010,99.2
Slovakia,2011,99
Slovakia,2012,99.5
Slovakia,2013,98.6
Slovakia,2014,98.3
Slovakia,2015,97
Slovakia,2016,98.1
Slovakia,2017,98.8
Slovakia,2018,98
Slovakia,2019,98.3
Slovakia,2020,98.2
Slovakia,2021,98
Slovenia,1989,99.6
Slovenia,1990,99.9
Slovenia,1991,99.9
Slovenia,1992,99.9
Slovenia,1993,99.9
Slovenia,1994,99.9
Slovenia,1995,99.9
Slovenia,1996,99.9
Slovenia,1997,99.9
Slovenia,1998,99.8
Slovenia,1999,99.9
Slovenia,2000,99.9
Slovenia,2001,99.9
Slovenia,2002,99.9
Slovenia,2003,99.9
Slovenia,2004,99.9
Slovenia,2005,99.9
Slovenia,2006,99.9
Slovenia,2007,99.9
Slovenia,2008,99.9
Slovenia,2009,99.9
Slovenia,2010,99.9
Slovenia,2011,99.9
Slovenia,2012,99.8
Solomon Islands,1990,85
Solomon Islands,1994,83.5
Solomon Islands,1999,85
Solomon Islands,2007,85.5
Solomon Islands,2015,86.2
Somalia,1999,19.3
Somalia,2000,19.3
Somalia,2002,24.8
Somalia,2006,9.4
Somalia,2019,31.9
South Africa,1994,82
South Africa,1995,82
South Africa,1998,84.4
South Africa,2003,91.2
South Africa,2004,91.2
South Africa,2008,94.3
South Africa,2016,96.7
South Asia (WB),2000,35.99939
South Asia (WB),2010,47.74137
South Asia (WB),2019,81.701324
South Korea,1990,98
South Korea,1991,97.9
South Korea,1994,98.4
South Korea,1997,99.6
South Korea,2000,99.9
South Korea,2003,99.9
South Korea,2009,99.9
South Korea,2012,99.8
South Korea,2015,100
South Sudan,2006,9.7
South Sudan,2010,19.4
South Sudan,2020,39.7
Spain,2015,99.9
Spain,2018,99.9
Spain,2019,99.9
Spain,2020,99.9
Sri Lanka,1987,87.2
Sri Lanka,1993,94.1
Sri Lanka,2000,96
Sri Lanka,2007,98.6
Sri Lanka,2014,99.95
Sri Lanka,2016,99.5
Sub-Saharan Africa (WB),2000,41.522827
Sub-Saharan Africa (WB),2010,51.29204
Sub-Saharan Africa (WB),2019,64.320145
Sudan,1990,68.5
Sudan,2006,49.2
Sudan,2010,72.5
Sudan,2014,77.7
Suriname,1995,80
Suriname,2000,70.9
Suriname,2002,90
Suriname,2004,90
Suriname,2006,86.5
Suriname,2007,90
Suriname,2008,90
Suriname,2009,90
Suriname,2010,90
Suriname,2015,90
Suriname,2018,98.4
Sweden,1987,100
Switzerland,2006,100
Syria,1993,76.9
Syria,2004,89.7
Syria,2006,91.5
Syria,2009,96.2
Tajikistan,1989,93.6
Tajikistan,1991,90.3
Tajikistan,1994,82.6
Tajikistan,1995,80.9
Tajikistan,1996,79
Tajikistan,1997,72.6
Tajikistan,1998,74.1
Tajikistan,1999,66.6
Tajikistan,2000,70.7
Tajikistan,2001,81.1
Tajikistan,2002,88.7
Tajikistan,2003,88.1
Tajikistan,2004,75.1
Tajikistan,2005,82.4
Tajikistan,2006,78.3
Tajikistan,2007,88.4
Tajikistan,2008,85
Tajikistan,2009,87.1
Tajikistan,2010,87.7
Tajikistan,2011,89
Tajikistan,2012,87.4
Tajikistan,2013,90.8
Tajikistan,2014,90.3
Tajikistan,2015,98
Tajikistan,2017,94.8
Tanzania,1992,52.2
Tanzania,1996,46.7
Tanzania,1999,43.8
Tanzania,2004,43.4
Tanzania,2005,43.4
Tanzania,2010,48.9
Tanzania,2012,61.4
Tanzania,2016,63.5
Thailand,1987,65.9
Thailand,2000,99.3
Thailand,2006,96.9
Thailand,2009,99.4
Thailand,2012,99.6
Thailand,2013,99.6
Thailand,2016,99.1
Thailand,2019,99.1
Togo,1988,45.7
Togo,1998,50.5
Togo,2000,35.4
Togo,2003,60.8
Togo,2006,52.4
Togo,2010,43.9
Togo,2014,44.6
Togo,2017,69.4
Tonga,1990,94
Tonga,1991,92
Tonga,1999,96
Tonga,2000,95
Tonga,2001,95.3
Tonga,2002,95.1
Tonga,2003,97
Tonga,2004,98
Tonga,2005,96.1
Tonga,2006,98
Tonga,2007,98
Tonga,2008,97
Tonga,2009,98.1
Tonga,2010,99
Tonga,2012,95.5
Tonga,2019,98.3
Trinidad and Tobago,1987,97.7
Trinidad and Tobago,1993,98.3
Trinidad and Tobago,1994,98
Trinidad and Tobago,1995,97.5
Trinidad and Tobago,1996,98
Trinidad and Tobago,1997,98.4
Trinidad and Tobago,1998,98.2
Trinidad and Tobago,1999,98.4
Trinidad and Tobago,2000,96
Trinidad and Tobago,2001,99.5
Trinidad and Tobago,2002,98.7
Trinidad and Tobago,2003,99.7
Trinidad and Tobago,2004,99.7
Trinidad and Tobago,2006,96.9
Trinidad and Tobago,2008,99.5
Trinidad and Tobago,2011,98
Trinidad and Tobago,2012,100
Trinidad and Tobago,2013,100
Trinidad and Tobago,2014,100
Trinidad and Tobago,2015,100
Trinidad and Tobago,2016,100
Trinidad and Tobago,2017,100
Tunisia,1988,69
Tunisia,1995,81
Tunisia,2000,89.9
Tunisia,2001,89.9
Tunisia,2006,94.6
Tunisia,2012,73.6
Tunisia,2018,99.5
Turkey,1993,76
Turkey,1998,80.6
Turkey,2003,83
Turkey,2004,83
Turkey,2007,89.3
Turkey,2008,91.3
Turkey,2009,95
Turkey,2013,97.4
Turkey,2014,97.4
Turkey,2015,99
Turkey,2017,98
Turkey,2018,99.2
Turkey,2019,97
Turkmenistan,1996,95.8
Turkmenistan,2000,97.2
Turkmenistan,2002,97.2
Turkmenistan,2003,99.5
Turkmenistan,2004,98.5
Turkmenistan,2005,99.7
Turkmenistan,2006,99.5
Turkmenistan,2016,100
Turkmenistan,2019,100
Turks and Caicos Islands,1998,100
Turks and Caicos Islands,1999,88.2
Turks and Caicos Islands,2004,100
Turks and Caicos Islands,2005,99.1
Turks and Caicos Islands,2006,100
Turks and Caicos Islands,2020,100
Tuvalu,1990,95
Tuvalu,1997,99
Tuvalu,2000,100
Tuvalu,2002,100
Tuvalu,2007,93.1
Tuvalu,2020,99.5
Uganda,1989,38.1
Uganda,1995,37.8
Uganda,2000,36
Uganda,2001,39
Uganda,2006,41.9
Uganda,2011,57.4
Uganda,2016,74.2
Ukraine,1989,99.9
Ukraine,1990,99.9
Ukraine,1991,99.9
Ukraine,1992,99.9
Ukraine,1993,99.9
Ukraine,1994,99.88
Ukraine,1995,99.89
Ukraine,1996,99.9
Ukraine,1997,99.9
Ukraine,1998,99.9
Ukraine,1999,99.1
Ukraine,2000,99.9
Ukraine,2001,99.9
Ukraine,2002,99.9
Ukraine,2003,99.9
Ukraine,2004,99.9
Ukraine,2005,99.8
Ukraine,2006,99.9
Ukraine,2007,98.7
Ukraine,2008,99.9
Ukraine,2009,99.9
Ukraine,2010,99.9
Ukraine,2011,99.9
Ukraine,2012,99
Ukraine,2013,99.9
Ukraine,2014,99.9
United Arab Emirates,1990,99.1
United Arab Emirates,1995,99.2
United Arab Emirates,2003,100
United Arab Emirates,2004,100
United Arab Emirates,2008,100
United Arab Emirates,2013,99.9
United Arab Emirates,2014,99.9
United Arab Emirates,2015,99.9
United Arab Emirates,2018,99.2
United Kingdom,1998,99
United States,1989,99
United States,1990,99.2
United States,1991,99.2
United States,1992,99.3
United States,1993,99.4
United States,1994,99.4
United States,1995,99.4
United States,1996,99.4
United States,1997,99.4
United States,1998,99.4
United States,1999,99.4
United States,2000,99.4
United States,2001,99.4
United States,2002,99.5
United States,2003,99.3
United States,2004,99.3
United States,2005,99.4
United States,2006,99.4
United States,2007,99.3
United States,2008,99.3
United States,2009,99.3
United States,2010,99.4
United States,2011,99.3
United States,2012,99.3
United States,2013,99.2
United States,2014,98.5
United States,2015,99.1
United States,2016,99.1
United States,2017,99.1
United States,2018,99.1
United States,2019,99
United States,2020,99.1
United States Virgin Islands,2002,98.3
United States Virgin Islands,2003,98.5
Upper-middle-income countries,1990,83.845985
Upper-middle-income countries,2000,89.39784
Upper-middle-income countries,2010,95.10846
Upper-middle-income countries,2019,97.95831
Uruguay,1990,99.4
Uruguay,1991,99.3
Uruguay,1992,99
Uruguay,1993,98.3
Uruguay,1994,98.2
Uruguay,1995,98
Uruguay,1996,98
Uruguay,1997,98.4
Uruguay,1998,99
Uruguay,1999,99.8
Uruguay,2000,99.7
Uruguay,2001,99.6
Uruguay,2002,99.7
Uruguay,2003,99.7
Uruguay,2004,99.5
Uruguay,2005,99.9
Uruguay,2006,99.9
Uruguay,2007,98.6
Uruguay,2008,99.6
Uruguay,2009,99.7
Uruguay,2010,99.8
Uruguay,2011,99.5
Uruguay,2012,99.9
Uruguay,2013,98.2
Uruguay,2014,99.9
Uruguay,2015,99.9
Uruguay,2016,100
Uruguay,2017,100
Uruguay,2018,100
Uruguay,2019,100
Uruguay,2020,100
Uzbekistan,1996,97.5
Uzbekistan,1997,100
Uzbekistan,1998,100
Uzbekistan,1999,100
Uzbekistan,2000,94.9
Uzbekistan,2001,100
Uzbekistan,2002,100
Uzbekistan,2003,100
Uzbekistan,2004,100
Uzbekistan,2005,100
Uzbekistan,2006,99.6
Uzbekistan,2007,100
Uzbekistan,2008,100
Uzbekistan,2009,100
Uzbekistan,2010,100
Uzbekistan,2011,100
Uzbekistan,2012,100
Uzbekistan,2013,100
Uzbekistan,2014,100
Uzbekistan,2015,100
Uzbekistan,2016,100
Uzbekistan,2017,100
Uzbekistan,2018,100
Uzbekistan,2019,100
Uzbekistan,2020,100
Uzbekistan,2022,99
Vanuatu,1990,79
Vanuatu,1994,87
Vanuatu,1995,89.1
Vanuatu,1999,88
Vanuatu,2000,88
Vanuatu,2003,84
Vanuatu,2005,92
Vanuatu,2006,92.9
Vanuatu,2007,74
Vanuatu,2013,89.4
Venezuela,1997,95.3
Venezuela,2000,94
Venezuela,2003,95
Venezuela,2011,98.1
Venezuela,2012,96
Venezuela,2013,99.2
Venezuela,2014,99.5
Venezuela,2015,99.3
Venezuela,2016,99.3
Venezuela,2017,99.1
Venezuela,2018,98.7
Vietnam,1997,77.1
Vietnam,2000,58.8
Vietnam,2002,85
Vietnam,2006,83.8
Vietnam,2011,91.9
Vietnam,2014,93.8
Vietnam,2021,96.1
World,2000,62.144756
World,2010,69.581825
World,2019,83.2157
Yemen,1992,34.3
Yemen,1997,21.7
Yemen,2003,26.8
Yemen,2006,35.7
Yemen,2012,34.4
Yemen,2013,44.7
Zambia,1992,49.8
Zambia,1996,46
Zambia,1997,46.5
Zambia,1999,45.3
Zambia,2002,42.1
Zambia,2007,45.2
Zambia,2014,63.3
Zambia,2018,80.4
Zambia,2019,80.4
Zimbabwe,1988,69.6
Zimbabwe,1994,69.2
Zimbabwe,1999,72.4
Zimbabwe,2006,68.5
Zimbabwe,2009,60.2
Zimbabwe,2011,66.2
Zimbabwe,2014,80
Zimbabwe,2015,78.1
Zimbabwe,2019,86
